Value of px1= 0, px2= 0, abs(px1-px2)= 0, MIN= 0 
Value of px1= 1, px2= 0, abs(px1-px2)= 1, MIN= 1 
Value of px1= 1, px2= 1, abs(px1-px2)= 0, MIN= 2 
Value of px1= 2, px2= 0, abs(px1-px2)= 2, MIN= 2 
Value of px1= 2, px2= 1, abs(px1-px2)= 1, MIN= 3 
Value of px1= 2, px2= 2, abs(px1-px2)= 0, MIN= 4 
Value of px1= 3, px2= 0, abs(px1-px2)= 3, MIN= 3 
Value of px1= 3, px2= 1, abs(px1-px2)= 2, MIN= 4 
Value of px1= 3, px2= 2, abs(px1-px2)= 1, MIN= 5 
Value of px1= 3, px2= 3, abs(px1-px2)= 0, MIN= 6 
Value of px1= 4, px2= 0, abs(px1-px2)= 4, MIN= 4 
Value of px1= 4, px2= 1, abs(px1-px2)= 3, MIN= 5 
Value of px1= 4, px2= 2, abs(px1-px2)= 2, MIN= 6 
Value of px1= 4, px2= 3, abs(px1-px2)= 1, MIN= 7 
Value of px1= 4, px2= 4, abs(px1-px2)= 0, MIN= 8 
Value of px1= 5, px2= 0, abs(px1-px2)= 5, MIN= 5 
Value of px1= 5, px2= 1, abs(px1-px2)= 4, MIN= 6 
Value of px1= 5, px2= 2, abs(px1-px2)= 3, MIN= 7 
Value of px1= 5, px2= 3, abs(px1-px2)= 2, MIN= 8 
Value of px1= 5, px2= 4, abs(px1-px2)= 1, MIN= 9 
Value of px1= 5, px2= 5, abs(px1-px2)= 0, MIN= 10 
Value of px1= 6, px2= 0, abs(px1-px2)= 6, MIN= 6 
Value of px1= 6, px2= 1, abs(px1-px2)= 5, MIN= 7 
Value of px1= 6, px2= 2, abs(px1-px2)= 4, MIN= 8 
Value of px1= 6, px2= 3, abs(px1-px2)= 3, MIN= 9 
Value of px1= 6, px2= 4, abs(px1-px2)= 2, MIN= 10 
Value of px1= 6, px2= 5, abs(px1-px2)= 1, MIN= 11 
Value of px1= 6, px2= 6, abs(px1-px2)= 0, MIN= 12 
Value of px1= 7, px2= 0, abs(px1-px2)= 7, MIN= 7 
Value of px1= 7, px2= 1, abs(px1-px2)= 6, MIN= 8 
Value of px1= 7, px2= 2, abs(px1-px2)= 5, MIN= 9 
Value of px1= 7, px2= 3, abs(px1-px2)= 4, MIN= 10 
Value of px1= 7, px2= 4, abs(px1-px2)= 3, MIN= 11 
Value of px1= 7, px2= 5, abs(px1-px2)= 2, MIN= 12 
Value of px1= 7, px2= 6, abs(px1-px2)= 1, MIN= 13 
Value of px1= 7, px2= 7, abs(px1-px2)= 0, MIN= 14 
Value of px1= 8, px2= 0, abs(px1-px2)= 8, MIN= 8 
Value of px1= 8, px2= 1, abs(px1-px2)= 7, MIN= 9 
Value of px1= 8, px2= 2, abs(px1-px2)= 6, MIN= 10 
Value of px1= 8, px2= 3, abs(px1-px2)= 5, MIN= 11 
Value of px1= 8, px2= 4, abs(px1-px2)= 4, MIN= 12 
Value of px1= 8, px2= 5, abs(px1-px2)= 3, MIN= 13 
Value of px1= 8, px2= 6, abs(px1-px2)= 2, MIN= 14 
Value of px1= 8, px2= 7, abs(px1-px2)= 1, MIN= 14 
Value of px1= 8, px2= 8, abs(px1-px2)= 0, MIN= 14 
Value of px1= 9, px2= 0, abs(px1-px2)= 9, MIN= 9 
Value of px1= 9, px2= 1, abs(px1-px2)= 8, MIN= 10 
Value of px1= 9, px2= 2, abs(px1-px2)= 7, MIN= 11 
Value of px1= 9, px2= 3, abs(px1-px2)= 6, MIN= 12 
Value of px1= 9, px2= 4, abs(px1-px2)= 5, MIN= 13 
Value of px1= 9, px2= 5, abs(px1-px2)= 4, MIN= 14 
Value of px1= 9, px2= 6, abs(px1-px2)= 3, MIN= 14 
Value of px1= 9, px2= 7, abs(px1-px2)= 2, MIN= 14 
Value of px1= 9, px2= 8, abs(px1-px2)= 1, MIN= 14 
Value of px1= 9, px2= 9, abs(px1-px2)= 0, MIN= 14 
Value of px1= 10, px2= 0, abs(px1-px2)= 10, MIN= 10 
Value of px1= 10, px2= 1, abs(px1-px2)= 9, MIN= 11 
Value of px1= 10, px2= 2, abs(px1-px2)= 8, MIN= 12 
Value of px1= 10, px2= 3, abs(px1-px2)= 7, MIN= 13 
Value of px1= 10, px2= 4, abs(px1-px2)= 6, MIN= 14 
Value of px1= 10, px2= 5, abs(px1-px2)= 5, MIN= 14 
Value of px1= 10, px2= 6, abs(px1-px2)= 4, MIN= 14 
Value of px1= 10, px2= 7, abs(px1-px2)= 3, MIN= 14 
Value of px1= 10, px2= 8, abs(px1-px2)= 2, MIN= 14 
Value of px1= 10, px2= 9, abs(px1-px2)= 1, MIN= 14 
